date,extent,area,data-type,region
2018-11,9.82,8.43,Goddard,N
2019-11,9.35,7.98,Goddard,N
2020-11,8.99,7.53,Goddard,N
2021-11,9.83,8.57,Goddard,N
1978-12,13.67,10.90,Goddard,N
1979-12,13.34,10.63,Goddard,N
1980-12,13.59,10.78,Goddard,N
1981-12,13.34,10.54,Goddard,N
1982-12,13.64,10.88,Goddard,N
1983-12,13.30,10.63,Goddard,N
1984-12,12.99,10.27,Goddard,N
1985-12,13.05,10.24,Goddard,N
1986-12,13.22,10.53,Goddard,N
1987-12,-9999,-9999,-9999,N
1988-12,13.63,11.99,Goddard,N
1989-12,13.39,11.61,Goddard,N
1990-12,13.11,11.47,Goddard,N
1991-12,12.95,11.19,Goddard,N
1992-12,13.41,11.72,Goddard,N
1993-12,13.32,11.48,Goddard,N
1994-12,13.27,11.49,Goddard,N
1995-12,12.92,11.09,Goddard,N
1996-12,12.86,11.03,Goddard,N
1997-12,13.08,11.24,Goddard,N
1998-12,12.76,10.91,Goddard,N
1999-12,12.64,10.99,Goddard,N
2000-12,12.64,10.96,Goddard,N
2001-12,12.49,10.55,Goddard,N
2002-12,12.61,10.64,Goddard,N
2003-12,12.59,10.80,Goddard,N
2004-12,12.55,10.98,Goddard,N
2005-12,12.23,10.56,Goddard,N
2006-12,11.95,10.17,Goddard,N
2007-12,12.03,10.18,Goddard,N
2008-12,12.36,10.97,Goddard,N
2009-12,12.20,10.59,Goddard,N
2010-12,11.83,10.43,Goddard,N
2011-12,12.15,10.63,Goddard,N
2012-12,12.01,10.45,Goddard,N
2013-12,12.18,10.87,Goddard,N
2014-12,12.35,10.89,Goddard,N
2015-12,12.04,10.64,Goddard,N
2016-12,11.46,9.62,Goddard,N
2017-12,11.74,10.26,Goddard,N
2018-12,11.86,10.45,Goddard,N
2019-12,11.90,10.52,Goddard,N
2020-12,11.73,10.16,Goddard,N
2021-12,12.15,10.74,Goddard,N
